compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
Thymol,Cc1ccc(C(C)C)c(O)c1,150.22,2.82,20.23,1,1,-1.278,3,0.09,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1007/s11095-010-0181-z; 10.1111/j.2042-7158.1977.tb11434.x
Toluene,Cc1ccccc1,92.14,2.0,0.0,0,0,-0.081,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
Triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,394.44,0.62,115.06,4,6,-5.4,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/bf01061455
Triamcinolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.5,2.42,93.06,2,6,-4.695,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/bf01061455
Trichloroacetic acid,O=C(O)C(Cl)(Cl)Cl,163.39,1.44,37.3,1,1,-2.722,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,144.39,1.88,23.79,0,1,-1.048,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,289.54,5.14,29.46,1,2,-0.713,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0278-6915(99)00164-7
Triglycol nicotinate,O=C(OCCOCCOCCO)c1cccnc1,255.27,0.26,77.88,1,6,-5.005,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
Trimethylamine,CN(C)C,59.11,0.18,3.24,0,1,-3.728,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.fct.2004.05.007
Urea,NC(N)=O,60.06,-0.98,69.11,2,1,-2.017,2,3.487,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W; 10.1023/A:1018998529283
Water,O,18.02,-0.82,31.5,0,0,-2.882,15,6.781,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600650210; 10.1016/0272-0590(92)90086-W; 10.1016/0378-4274(95)03393-Y; 10.1016/0887-2333(94)90078-7; 10.1023/A:1016096626810; 10.1111/1523-1747.ep12460958; 10.1111/1523-1747.ep12475447; 1
