compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
Hydrocortisone 21-Hemisuccinate,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,462.54,2.2,138.2,3,7,-3.201,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydrocortisone 21-Hexanoate,CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,460.61,3.91,100.9,2,6,-1.745,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydrocortisone 21-methylsuccinate,COC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,476.57,2.29,127.2,2,8,-3.678,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydrocortisone 21-octanoate,CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,488.67,4.69,100.9,2,6,-1.208,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,418.53,2.74,100.9,2,6,-2.475,2,0.013,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydrocortisone 21-succinamate,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(N)=O,461.56,1.6,143.99,3,7,-4.585,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,285.34,1.63,49.77,1,4,-4.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/A:1015944018555
Hydroquinone,Oc1ccc(O)cc1,110.11,1.1,40.46,2,2,-3.99,2,2.08,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-4274(95)03393-Y; 10.1016/S0928-0987(02)00085-4
Hydroxypregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C,332.48,3.84,57.53,2,3,-3.222,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,3.07,37.3,1,1,-1.693,2,0.507,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6; 10.1016/j.ijpharm.2005.05.030
Ibuprofen glucoside,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,368.43,0.33,116.45,4,7,-3.389,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Ibuprofen mannoside,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,368.43,0.33,116.45,4,7,-2.992,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,3.93,68.53,1,3,-6.998,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015824100788
Isonicotinic acid,O=C(O)c1ccncc1,123.11,0.78,50.19,1,2,-4.617,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
Isoquinoline,c1ccc2cnccc2c1,129.16,2.23,12.89,0,1,-1.776,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.28,3.11,54.37,1,2,-2.903,2,0.617,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.10312; 10.1016/j.ijpharm.2005.05.030
Ketoprofen glucoside,CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1cccc(C(=O)c2ccccc2)c1,416.43,0.36,133.52,4,8,-4.175,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Ketoprofen mannoside,CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1cccc(C(=O)c2ccccc2)c1,416.43,0.36,133.52,4,8,-4.038,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,255.27,2.29,59.3,1,2,-2.243,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600841010
L-alanyl-L-tryptophan,C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,275.31,0.63,108.21,4,3,-4.952,2,0.257,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/bip.21520
Levosimendan,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,280.29,1.36,113.43,2,6,-3.663,2,1.47,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(00)00120-2
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,2.58,32.34,1,2,-2.462,6,1.491,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(91)90387-4; 10.1021/js960079z; 10.1023/A:1007547809430
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,290.83,3.64,0.0,0,0,-3.942,4,2.093,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1177/096032719701601104
Linolenic acid,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,278.44,5.66,37.3,1,1,-2.432,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Lysine,NCCCC[C@H](N)C(=O)O,146.19,-0.47,89.34,3,3,-3.538,2,0.468,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(93)90321-6
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,330.36,2.12,71.06,0,8,-0.693,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0278-6915(96)00030-0
Meperidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,247.34,2.21,29.54,0,3,-2.432,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/A:1015944018555
Methanol,CO,32.04,-0.39,20.23,1,1,-1.983,7,3.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(84)90145-5; 10.1038/jid.1965.140; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.45,0.27,210.54,5,10,-3.284,7,1.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(85)90106-1
